No,회사,공고제목,지역,경력,링크
1,삼성전자검단본점(주),삼성가전제품 판매.영업 경력 직원 구함,인천 서구,경력 1년↑,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150000841&src=etc*search
2,삼성생명(주) 서초사옥,삼성생명 GFC 컨설턴트 모집,서울 강남구 외,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230001104&src=etc*search
3,메드프라이즈,법인 컨설턴트 모집/삼성금융 네트워크,서울 중구,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120001724&src=etc*search
4,(주)피앤피커리어,[트랜스] 삼성전자 에어컨 고객센터 상담원,서울 구로구 외,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150003260&src=etc*search
5,주식회사 에스피하우징,삼성 시스템에어컨 시공 현장관리 채용공고,경기 용인시 처인구,경력,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270001915&src=etc*search
6,삼성종합물류마트,[삼성종합물류마트] 창고관리 직원 모집,경남 창원시 마산회원구,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080003351&src=etc*search
7,(주)휴먼티에스에스,[삼성그룹 보안] 휴먼TSS 5월 첨단보안직 신입사원 채용,경기 용인시 기흥구 외,신입,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290000835&src=etc*search
8,(주)피앤피커리어,[MPC] 삼성카드 교체발급 아웃바운드 상담원,서울 영등포구 외,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180000912&src=etc*search
9,(주)청명환경시스템,삼성전자 동탄캠퍼스內 미화원 모집(변전실),경기 화성시 병점구,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040000740&src=etc*search
10,(주)인화기업,삼성사내협력사 선박도장원 모집,경남 거제시,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070003416&src=etc*search
11,삼성생명보험(주),삼성생명 GFC  모집,전국 외,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604240003707&src=etc*search
12,(주)그린빌,[동해천곡삼성아파트] 관리기사 구인,강원 동해시,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604300001918&src=etc*search
13,(주)케이에스메이트,강남구 삼성2동 문화센터  미화 채용,서울 강남구,경력 1년↑,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120003626&src=etc*search
14,(주)피앤피커리어,[트랜스] 삼성전자 고객센터 계약직 주간상담원,서울 구로구 외,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604110000200&src=etc*search
15,(주)피앤피커리어,[트랜스] 삼성전자 고객센터 계약직 야간상담원,서울 구로구 외,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604110000202&src=etc*search
16,삼성재활전문주간보호센터,삼성재활전문주간보호센터 조리원 모집,전북 전주시 완산구,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040001798&src=etc*search
17,삼성요양원,삼성요양원 요양보호사선생님 모십니다.(주간),경기 시흥시,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070002392&src=etc*search
18,(주)피앤피커리어,[트랜스] 삼성물산 SSF SHOP고객센터 CS상담원,서울 관악구 외,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604300002823&src=etc*search
19,(주)삼덕티엘에스,[평택] 삼성전자 협력사 행정지원 업무,경기 평택시,경력 2년↑,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120005048&src=etc*search
20,유한회사하우젠공조시스템,기계설비업(삼성 시스템에어컨 및 가전) 경리사원 모집,광주 북구,경력 1년↑,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604300001084&src=etc*search
21,(주)이오티앤디,"삼성 테마트 상가 시설과장 <기계, 전기> 모집",서울 용산구,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604300003318&src=etc*search
